Date,Weekly New England (PADD 1A) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast (PADD 5) Except California Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2016-01-01,2.039,2.074,1.93,1.86,1.75,1.964,2.663,2.296
2016-01-01,2.007,2.053,1.896,1.821,1.727,1.946,2.63,2.263
2016-01-01,1.95,1.979,1.838,1.712,1.672,1.906,2.523,2.198
2016-01-01,1.916,1.949,1.79,1.63,1.628,1.861,2.459,2.141
2016-01-01,1.887,1.914,1.763,1.622,1.59,1.803,2.375,2.073
2016-01-01,1.842,1.879,1.716,1.518,1.561,1.753,2.312,2.012
2016-01-01,1.798,1.822,1.692,1.522,1.528,1.691,2.217,1.938
2016-01-01,1.777,1.807,1.667,1.609,1.526,1.673,2.141,1.875
2016-01-01,1.77,1.802,1.681,1.722,1.559,1.702,2.208,1.865
2016-01-01,1.778,1.819,1.749,1.815,1.603,1.784,2.244,1.904
2016-01-01,1.885,1.922,1.856,1.929,1.746,1.867,2.394,2.045
2016-01-01,1.919,1.957,1.93,1.939,1.805,1.902,2.48,2.132
2016-01-01,2.031,2.05,1.995,1.957,1.863,1.947,2.57,2.206
2016-01-01,2.056,2.071,1.997,1.988,1.869,1.969,2.58,2.242
2016-01-01,2.072,2.089,1.98,1.965,1.835,2.001,2.563,2.241
2016-01-01,2.155,2.171,2.023,2.057,1.91,2.078,2.591,2.279
2016-01-01,2.188,2.201,2.051,2.097,1.913,2.116,2.596,2.286
2016-01-01,2.25,2.269,2.163,2.183,1.995,2.167,2.635,2.334
2016-01-01,2.27,2.28,2.155,2.116,1.987,2.214,2.634,2.373
2016-01-01,2.263,2.282,2.153,2.178,1.987,2.243,2.644,2.393
2016-01-01,2.315,2.316,2.178,2.28,2.064,2.3,2.658,2.406
2016-01-01,2.353,2.348,2.224,2.34,2.09,2.316,2.673,2.433
2016-01-01,2.356,2.345,2.277,2.409,2.142,2.314,2.698,2.454
2016-01-01,2.363,2.35,2.26,2.466,2.135,2.322,2.721,2.474
2016-01-01,2.341,2.332,2.215,2.37,2.096,2.33,2.72,2.467
2016-01-01,2.34,2.323,2.183,2.291,2.097,2.319,2.764,2.48
2016-01-01,2.323,2.304,2.153,2.208,2.074,2.305,2.759,2.5
2016-01-01,2.276,2.272,2.118,2.155,2.045,2.288,2.731,2.498
2016-01-01,2.247,2.229,2.072,2.152,2.007,2.276,2.721,2.486
2016-01-01,2.209,2.201,2.033,2.078,1.98,2.264,2.67,2.459
2016-01-01,2.168,2.172,2.025,2.075,1.944,2.252,2.614,2.421
2016-01-01,2.125,2.144,1.991,2.115,1.928,2.226,2.573,2.387
2016-01-01,2.104,2.143,2.016,2.121,1.938,2.214,2.534,2.347
2016-01-01,2.166,2.187,2.068,2.171,1.964,2.229,2.573,2.352
2016-01-01,2.201,2.22,2.128,2.227,2.009,2.263,2.592,2.391
2016-01-01,2.202,2.225,2.125,2.18,2.005,2.267,2.594,2.401
2016-01-01,2.18,2.204,2.095,2.135,1.973,2.274,2.632,2.423
2016-01-01,2.192,2.218,2.172,2.154,1.967,2.265,2.65,2.456
2016-01-01,2.193,2.232,2.184,2.144,1.964,2.246,2.651,2.456
2016-01-01,2.225,2.236,2.178,2.173,2.007,2.242,2.679,2.455
2016-01-01,2.249,2.256,2.204,2.221,2.038,2.244,2.675,2.459
2016-01-01,2.247,2.263,2.216,2.155,2.043,2.269,2.679,2.461
2016-01-01,2.248,2.274,2.196,2.107,2.056,2.286,2.68,2.476
2016-01-01,2.248,2.271,2.172,2.075,2.042,2.293,2.697,2.478
2016-01-01,2.255,2.335,2.165,2.082,2.015,2.268,2.686,2.475
2016-01-01,2.225,2.321,2.138,1.994,1.975,2.235,2.645,2.456
2016-01-01,2.197,2.291,2.075,2.014,1.918,2.185,2.591,2.422
2016-01-01,2.192,2.284,2.067,2.039,1.906,2.146,2.572,2.401
2016-01-01,2.236,2.34,2.147,2.107,1.979,2.12,2.571,2.38
2016-01-01,2.257,2.363,2.181,2.162,2.008,2.122,2.556,2.368
2016-01-01,2.281,2.378,2.226,2.192,2.053,2.135,2.563,2.377
2016-01-01,2.311,2.416,2.237,2.28,2.08,2.175,2.592,2.395
